disc_year,disc_facility,pl_name,pl_rade,pl_bmasse,hostname,sy_pnum,sy_snum
2010,James Webb,TOI-953b,2.15,6.21,TOI-953,2,2
2021,Kepler,WASP-712d,1.61,35.26,WASP-712,1,2
2022,James Webb,TOI-595e,1.21,43.73,TOI-595,5,1
2018,Ground,Kepler-757c,4.65,16.8,Kepler-757,3,1
2022,TESS,TRAPPIST-627d,4.74,29.33,TRAPPIST-627,1,2
2024,Ground,TOI-581c,1.12,40.23,TOI-581,5,2
2015,TESS,HD-274d,4.92,19.52,HD-274,6,2
2023,Hubble,HD-875e,4.03,42.32,HD-875,5,2
2023,James Webb,TOI-506f,1.35,9.35,TOI-506,3,1
2023,James Webb,HD-566e,4.01,2.09,HD-566,2,1
2012,Hubble,TOI-275f,4.41,26.3,TOI-275,4,1
2013,Kepler,HD-11e,4.71,21.88,HD-11,8,2
2022,Hubble,Kepler-77c,3.12,8.86,Kepler-77,5,2
2023,Kepler,TRAPPIST-371d,2.14,13.93,TRAPPIST-371,2,2
2024,James Webb,TRAPPIST-430b,3.52,10.14,TRAPPIST-430,2,2
2021,TESS,WASP-888c,2.62,42.51,WASP-888,7,1
2019,Hubble,TRAPPIST-63e,2.75,15.42,TRAPPIST-63,1,1
2018,Kepler,TRAPPIST-979c,4.84,21.16,TRAPPIST-979,5,1
2022,Ground,LHS-327f,2.66,11.38,LHS-327,2,2
2023,James Webb,WASP-771c,1.99,37.64,WASP-771,6,2
2017,TESS,TOI-111c,4.89,46.38,TOI-111,5,1
2013,Kepler,TRAPPIST-817f,4.36,6.99,TRAPPIST-817,2,1
2020,James Webb,WASP-591e,3.42,39.47,WASP-591,3,1
2022,Hubble,LHS-993f,4.64,32.65,LHS-993,6,2
2024,Ground,HD-266e,2.41,48.59,HD-266,8,2
2024,James Webb,TOI-215f,2.72,0.54,TOI-215,6,1
2011,TESS,TRAPPIST-336d,0.5,45.03,TRAPPIST-336,5,1
2019,James Webb,HD-838f,1.36,34.84,HD-838,8,1
2021,Spitzer,HD-54e,0.62,49.18,HD-54,8,2
2020,Hubble,LHS-478b,2.48,20.43,LHS-478,6,1
2016,James Webb,TRAPPIST-71c,3.95,3.44,TRAPPIST-71,6,2
2012,Hubble,HD-663f,1.03,34.65,HD-663,6,1
2012,James Webb,HD-935c,2.94,48.71,HD-935,6,1
2020,Kepler,HD-849f,0.99,3.43,HD-849,1,1
2017,Kepler,HD-849e,0.94,6.31,HD-849,6,1
2014,James Webb,TOI-816b,1.6,43.09,TOI-816,4,2
2014,Hubble,WASP-951f,4.8,47.23,WASP-951,3,2
2024,TESS,Kepler-407f,1.53,19.77,Kepler-407,7,1
2015,James Webb,TOI-404d,3.33,42.28,TOI-404,4,2
2019,Spitzer,Kepler-90f,2.53,17.95,Kepler-90,8,2
2013,Ground,TOI-879c,4.7,47.99,TOI-879,5,2
2023,James Webb,LHS-340e,3.91,24.32,LHS-340,2,2
2022,James Webb,Kepler-230c,0.65,2.17,Kepler-230,5,2
2011,James Webb,TOI-209f,0.74,26.96,TOI-209,2,2
2024,Ground,HD-801e,1.78,8.09,HD-801,3,2
2012,Spitzer,TOI-434e,3.0,24.56,TOI-434,8,2
2011,Hubble,Kepler-744f,2.96,25.9,Kepler-744,2,1
2024,Kepler,TRAPPIST-143e,3.04,44.22,TRAPPIST-143,4,1
2010,Ground,Kepler-258b,3.98,21.36,Kepler-258,6,1
2023,Ground,WASP-173f,4.16,11.18,WASP-173,7,1
2014,Kepler,WASP-828d,2.66,35.32,WASP-828,5,1
2019,James Webb,HD-833f,2.81,17.17,HD-833,5,2
2020,Spitzer,Kepler-970d,3.26,31.7,Kepler-970,7,1
2018,Spitzer,TRAPPIST-84d,3.79,24.22,TRAPPIST-84,7,1
